,,,,,,,
,Компетенция / метанавык,Элемент,Индикатор проявления,,Статус,Уровень,В чем было проявлено
,,,Диагностика,Проработка,,,
,Соблюдение этики БПСП,Конфиденциальность и безопасность,Формирует ощущение безопасного пространства,Поддерживает бережный контакт с материалом клиента,,,
,,Ответственность за границы метода,Не обещает магических результатов,Не выходит за пределы своей компетенции,,,
,,Прозрачность процесса,Объясняет логику диагностики и работы,"Объясняет, что и зачем происходит в сессии",,,
,,Не создает зависимость,Не формирует образ «только я могу тебе помочь»,Поддерживает автономность клиента,,,
,,Уважение к темпу клиента,Не форсирует раскрытие травматичного материала,Позволяет клиенту регулировать глубину контакта,,,
,,Экологичность воздействия,"Не усиливает чувство вины, стыда, зависимости",Следит за уровнем нагрузки и состоянием клиента,,,
,,Принцип партнерства,"Уточняет согласие клиента на гипотезы, техники и рекомендации","Поддерживает ощущение совместной работы, а не давления",,,
,,Работа через запрос,Не уходит в темы вне запроса без согласования,"Прорабатывает только то, что мешает текущему запросу",,,
,,Не навязывает интерпретации,"Не «объясняет клиента клиенту», а исследует вместе с ним",Не продавливает выводы и смыслы,,,
,Образ мышления и философия метода ,Видит человека как систему,"Исследует биологический, психический и социальный уровни","Работает не только с мыслями, но и с телом, эмоциями, поведением",,,
,,Ориентация на первопричину,Ищет повторяющиеся программы и контексты,"Работает с корневыми программами, а не только симптомом",,,
,,Системное мышление,"Замечает взаимосвязи между симптомами, поведением и жизнью",Помогает клиенту увидеть причинно-следственные связи,,,
,,Интегративность,"Использует разные способы диагностики (тело, эмоции, поведение, мышление)",Гибко комбинирует инструменты под клиента,,,
,,Фокус на адаптации,"Исследует, как программа помогала выживать",Не борется с частью личности клиента,,,
,,Нормализация защит,"Не демонизирует сопротивление, избегание, тревогу",Помогает увидеть функцию симптома,,,
,,Ориентация на изменения в реальности,"Исследует, как проблема проявляется в жизни",Проверяет изменения на уровне поведения и результатов,,,
,,Проверка результата на 3 уровнях,"Отслеживает телесные, эмоциональные и поведенческие проявления",Делает тест результата после проработки,,,
,,Работа через ЦОЖ / направление жизни,Помогает прояснить желаемое состояние и образ жизни,Соотносит проработку с целевым образом жизни,,,
,Постоянно развивает доверие и ощущение безопасности,,"Специалист объясняет клиенту, цель, задачи и формат диагностической сессии. Проясняет плана того, чем мы будем заниматься.",,,,
,,,"Устанавливает эмоциональную связь и снимает напряжение напряжения: неформальная беседа, шутка, small-talk ",,,,
,,,"В партнерстве определяет, есть ли необходимость рассказать о себе, опыте работы, подобных кейсах, методе в целом",,,,
,,,"Работает на создание у клиента ощущения, что его слышат и понимают ",,,,
,Создает и поддерживает соглашения,,Собирает базовый контекст о клиенте,,,,
,,,"Исследует, уточняет, формулирует цель клиента и снимает первичный запрос:",,,,
,,,"Уточняет или исследует, что важно или имеет глубокий смысл для клиента в том, чего он хочет достичь в ходе всей работы",,,,
,,,Помогает клиенту сформулировать критерии итогового результата,,,,
,,,"Выявляет контексты, в которых отсутствуют целевые действия или происходит сбой, неадекватная реакция или поведение ",,,,
,,,"Составляет примерный план и последовательность работы, задает рамку работы и ролевую позицию ",,,,
,Сохраняет присутствие,,"Специалист действует, основываясь на целостности личности клиента (мысли-чувства-действия)",,,,
,,,"Специалист находится в партнерстве с клиентом, поддерживая выбор цели на контракт и план его реализации",В партнерстве определяет выбор приоритетного запроса и приоритетных программ на проработку,,,
,,,"Специалист проявляет любопытство, чтобы узнать больше о клиенте",,,,
,,,"Специалист дает пространство для тишины, пауз и рефлексии",,,,
,Активно слушает,,"Вопросы и наблюдения коуча индивидуальны и основываются на том, что коуч узнал о клиенте или его ситуации",,,,
,,,"Специалист уточняет или исследует те слова, которые использует клиент",,,,
,,,Специалист уточняет или исследует эмоции клиента,,,,
,,,"Специалист исследует изменение энергии клиента, невербальные сигналы или другие поведенческие проявления",,,,
,,,"Специалист позволяет клиенту договорить, не прерывая, кроме тех случаев, когда прерывание служит заявленной цели сессии",,,,
,,,"Специалист уточняет или исследует, как клиент в данный момент воспринимает себя или свой мир",,,,
,,,"Специалист кратко отзеркаливает или суммирует сказанное клиентом, чтобы обеспечить ясность и понимание для клиента",,,,
,Пробуждает осознанность,,"Специалист задает вопросы о клиенте, например о его текущем способе мышления, чувствах, ценностях, потребностях, желаниях, убеждениях и поведении.",,,,
,,,"Специалист задает вопросы, чтобы помочь клиенту осознать новую желаемую реакцию на контекст (за пределами текущих мыслей и чувств) и восприятие себя",,,,
,,,"Специалист задает вопросы, которые помогают исследовать за пределами текущих мыслей и чувств в направлении новых, расширенных способов восприятия текущей ситуации (ЧТО)",,,,
,Управляет динамикой,,Контролирует время и адаптирует скорость под цель сессии,,,,
,,,Синхронизирует ритм в партнерстве с клиентом,,,,
,,,Предоставляет достаточно необходимого времени на осмысление и рефлексию,Предоставляет достаточно необходимого времени на проживание и отпускание и сверяется с клиентом ,,,
,,,"Умело различает наиболее важное и приоритетное, фокусирует и направляет сессию",,,,
,Отслеживание прогресса,,,Проверяет реакции после проработки в конце сессии,,,
,,,,На каждой сессии сверяется по результату предыдущей сессии — отслеживание прогресса на уровне поведения ,,,
,,,,"Помогает клиенту осознать, как полученный результат влияет на решение запроса и как это приближает его к целевому состоянию: сумма реакций)",,,
